Timestamp,Sensor,X,Y,Z
74001.998675469,Accelerometer,-1.18,8.57,4.27
74002.192261303,Accelerometer,-1.24,8.51,4.38
74002.385850209,Accelerometer,-1.28,8.46,4.57
74002.579444115,Accelerometer,-1.23,8.49,4.43
74002.773039219,Accelerometer,-1.17,8.53,4.49
74002.966638698,Accelerometer,-1.25,8.49,4.43
74003.160240469,Accelerometer,-1.28,8.5,4.44
74003.353837553,Accelerometer,-1.27,8.5,4.34
74003.547431042,Accelerometer,-1.23,8.51,4.52
74003.741035053,Accelerometer,-1.25,8.49,4.43
74003.934622657,Accelerometer,-1.26,8.49,4.48
74004.128214219,Accelerometer,-1.31,8.43,4.41
74004.32181198,Accelerometer,-1.15,8.51,4.67
74004.902608803,Accelerometer,-1.22,8.45,4.54
74005.09621349,Accelerometer,-1.22,8.44,4.51
74005.289795886,Accelerometer,-1.15,8.47,4.63
74005.483390886,Accelerometer,-1.17,8.44,4.59
74005.676973594,Accelerometer,-1.17,8.46,4.5
74005.87053698,Accelerometer,-1.19,8.47,4.51
74006.064103594,Accelerometer,-1.2,8.46,4.49
74006.25769599,Accelerometer,-1.11,8.52,4.48
74006.451287917,Accelerometer,-1.14,8.5,4.46
74006.644882657,Accelerometer,-1.14,8.5,4.46
74006.838482969,Accelerometer,-1.13,8.48,4.48
74007.032085521,Accelerometer,-1.01,8.58,4.3
74007.225677136,Accelerometer,-0.79,8.7,4.03
74007.419269375,Accelerometer,-0.48,8.86,3.86
74007.612869844,Accelerometer,-0.64,8.69,3.95
74007.806472396,Accelerometer,0.43,9.33,2.41
74008.000078073,Accelerometer,0.97,9.54,1.69
74008.193677344,Accelerometer,1.05,9.56,1.57
74008.387284115,Accelerometer,0.61,9.41,2.12
74008.580892084,Accelerometer,0.19,9.28,2.23
74008.774493334,Accelerometer,0.38,9.36,2.2
74008.968102188,Accelerometer,0.33,9.32,2.37
74009.161709271,Accelerometer,0.47,9.36,2.23
74009.355319792,Accelerometer,0.69,9.41,2.08
74009.548925365,Accelerometer,0.11,9.05,3.02
74009.742541355,Accelerometer,0.3,9.14,3.22
74009.936138021,Accelerometer,0.48,9.07,2.74
74010.129733073,Accelerometer,1.49,9.51,1.95
74010.323327605,Accelerometer,1.37,9.35,1.95
74010.516913803,Accelerometer,1.08,9.45,2.48
74010.710506667,Accelerometer,0.15,8.95,2.73
74010.904090209,Accelerometer,0.42,9.21,3.08
74011.097671459,Accelerometer,0.37,9.2,2.94
74011.291260521,Accelerometer,0.23,9.12,2.92
74011.484847136,Accelerometer,0.4,9.29,2.87
74011.678440886,Accelerometer,0.27,9.11,2.72
74011.872040521,Accelerometer,0.3,9.17,2.9
74012.06564573,Accelerometer,0.58,9.32,2.8
74012.259235834,Accelerometer,0.64,9.35,2.49
74012.452831355,Accelerometer,0.32,9.33,3.03
74012.646440938,Accelerometer,-0.45,9.04,2.96
74012.840040834,Accelerometer,-1.14,8.86,3.53
74013.033647396,Accelerometer,-1.06,8.97,3.34
74013.227250417,Accelerometer,-1.07,9.01,3.31
74013.420860417,Accelerometer,-1.04,9.07,3.15
74013.614448855,Accelerometer,-1.2,8.99,3.2
74013.80803948,Accelerometer,-1.16,9.03,3.13
